iter	Passed	Remaining
137	1732	10821
138	1742	10791
139	1756	10786
140	1768	10773
141	1779	10753
142	1790	10731
143	1800	10705
144	1812	10686
145	1823	10663
146	1835	10650
147	1845	10626
148	1856	10605
149	1872	10608
150	1885	10600
151	1896	10579
152	1906	10551
153	1917	10534
154	1927	10508
155	1937	10483
156	1949	10465
157	1961	10454
158	1972	10435
159	1983	10412
160	1993	10389
161	2005	10372
162	2015	10350
163	2025	10327
164	2035	10302
165	2047	10284
166	2057	10264
167	2068	10244
168	2080	10230
169	2091	10212
170	2103	10195
171	2113	10174
172	2123	10150
173	2132	10125
174	2144	10110
175	2154	10088
176	2164	10064
177	2175	10045
178	2185	10022
179	2194	9997
180	2206	9984
181	2218	9972
182	2229	9952
183	2240	9934
184	2250	9914
185	2260	9893
186	2271	9876
187	2283	9862
188	2293	9843
189	2305	9830
190	2315	9808
191	2325	9785
192	2336	9767
193	2346	9749
194	2356	9727
195	2367	9711
196	2377	9692
197	2388	9676
198	2399	9658
199	2412	9649
200	2423	9635
201	2436	9624
202	2446	9606
203	2457	9590
204	2473	9590
205	2484	9576
206	2494	9557
207	2505	9542
208	2517	9526
209	2527	9507
210	2541	9502
211	2551	9485
212	2563	9470
213	2573	9452
214	2584	9435
215	2595	9422
216	2607	9408
217	2622	9406
218	2634	9396
219	2645	9380
220	2655	9359
221	2666	9345
222	2679	9334
223	2689	9315
224	2700	9300
225	2710	9282
226	2720	9264
227	2731	9247
228	2741	9229
229	2751	9212
230	2763	9198
231	2772	9178
232	2782	9159
233	2792	9142
234	2804	9130
235	2815	9114
236	2826	9100
237	2836	9081
238	2847	9065
239	2857	9048
240	2868	9034
241	2878	9016
242	2888	8997
243	2898	8981
244	2909	8965
245	2918	8946
246	2932	8940
247	2942	8922
248	2951	8902
249	2962	8888
250	2972	8870
251	2982	8852
252	2994	8842
253	3004	8825
254	3014	8805
255	3025	8791
256	3035	8774
257	3044	8757
258	3055	8742
259	3066	8726
260	3076	8711
261	3087	8695
262	3097	8678
263	3106	8660
264	3116	8644
265	3127	8630
266	3139	8619
267	3150	8604
268	3161	8590
269	3172	8576
270	3182	8560
271	3194	8548
272	3205	8536
273	3215	8520
274	3227	8509
275	3237	8492
276	3247	8476
277	3260	8466
278	3270	8451
279	3279	8433
280	3291	8420
281	3300	8403
282	3312	8391
283	3322	8377
284	3332	8360
285	3344	8348
286	3353	8332
287	3363	8315
288	3373	8298
289	3386	8290
290	3395	8273
291	3406	8259
292	3417	8245
293	3427	8231
294	3437	8214
295	3448	8202
296	3459	8187
297	3468	8171
298	3480	8158
299	3489	8143
300	3499	8127
301	3510	8114
302	3521	8101
303	3532	8086
304	3549	8087
305	3560	8075
306	3570	8059
307	3582	8048
308	3592	8033
309	3603	8020
310	3614	8008
311	3625	7993
312	3635	7978
313	3650	7975
314	3661	7961
315	3671	7947
316	3695	7961
317	3706	7950
318	3717	7935
319	3728	7922
320	3739	7909
321	3749	7893
322	3760	7881
323	3771	7869
324	3783	7857
325	3794	7844
326	3806	7833
327	3816	7818
328	3826	7804
329	3838	7792
330	3851	7784
331	3863	7772
332	3874	7760
333	3886	7749
334	3896	7734
335	3907	7721
336	3920	7712
337	3929	7696
338	3941	7684
339	3952	7671
340	3961	7656
341	3973	7644
342	3985	7633
343	3995	7618
344	4006	7606
345	4017	7593
346	4027	7579
347	4040	7569
348	4052	7559
349	4062	7544
350	4073	7531
351	4084	7519
352	4094	7504
353	4108	7497
354	4121	7487
355	4132	7474
356	4142	7461
357	4154	7450
358	4168	7443
359	4180	7431
360	4190	7417
361	4202	7406
362	4213	7393
363	4227	7385
364	4241	7379
365	4254	7368
366	4265	7356
367	4275	7342
368	4286	7330
369	4312	7343
370	4322	7329
371	4334	7316
372	4344	7303
373	4355	7289
374	4366	7277
375	4378	7266
376	4389	7253
377	4401	7242
378	4412	7230
379	4422	7216
380	4434	7205
381	4446	7193
382	4456	7178
383	4467	7167
384	4479	7155
385	4489	7140
386	4501	7129
387	4512	7117
388	4522	7102
389	4533	7091
390	4545	7079
391	4555	7065
392	4568	7056
393	4580	7045
394	4591	7032
395	4600	7017
396	4612	7006
397	4623	6993
398	4635	6982
399	4646	6969
400	4657	6957
401	4668	6944
402	4678	6929
403	4688	6917
404	4700	6905
405	4710	6892
406	4722	6880
